Vehicle_Type,Vehicle_Age,Mileage,Engine_Temp,RPM,Oil_Pressure,Fuel_Consumption,Battery_Voltage,Brake_Pressure,Tire_Pressure,Tire_Condition,Vibration_Level,Last_Service_Months,Accident_History,KM_Range_Before_Defect,Remaining_KM
Hatchback,12,105375,98,2768,35,19.3,12.16,31,31,Good,Low,4,No,50000-80000,72378.01787
Sedan,3,39724,90,3146,37,12.8,11.85,32,35,Moderate,Low,2,No,80000+,103635.9669
Sedan,12,74888,87,2283,38,15,12.49,30,35,Worn,Medium,8,No,50000-80000,61058.7672
Hatchback,5,244081,90,2055,33,20.4,11.78,32,29,Good,Low,8,No,80000+,102060.2911
Hatchback,8,68802,96,1195,38,21.4,12.6,33,34,Moderate,Low,9,No,50000-80000,71576.27387
Sedan,5,82988,88,716,36,14.8,11.83,31,32,Critical,Low,9,No,50000-80000,78109.4149
Hatchback,5,91335,94,1787,44,17.7,11.72,25,34,Moderate,High,12,Yes,10000-25000,18587.54653
SUV,9,12976,93,1033,34,6.7,12.71,34,35,Good,Low,6,No,80000+,92162.47051
Truck,9,138334,98,2656,21,11.4,12.61,25,36,Good,Low,11,No,10000-25000,23247.82946
Sedan,11,27127,95,2932,39,11.8,12.53,45,33,Good,Low,5,No,80000+,85731.37517
Truck,9,40142,98,1831,28,9.7,12.45,41,33,Good,Low,9,Yes,25000-50000,43527.7752
SUV,9,140049,100,1747,30,7.3,12.46,35,32,Critical,Low,7,No,25000-50000,37463.53503
SUV,11,63586,100,1662,28,12,12.51,26,30,Good,High,4,No,25000-50000,27531.8871
Sedan,12,77841,88,1685,44,17.7,12.76,37,30,Good,Medium,3,Yes,50000-80000,75553.79538
SUV,1,44900,108,2823,40,10.8,12.7,40,33,Good,Medium,6,No,50000-80000,57669.43011
Truck,6,20873,94,3348,25,6.7,12.78,32,29,Good,Medium,4,No,50000-80000,52154.82936
SUV,2,128499,88,2743,42,14.2,12.77,28,32,Critical,Medium,11,Yes,10000-25000,24890.81474
SUV,9,241612,94,2551,26,9.5,12.09,32,34,Good,Low,4,Yes,80000+,97430.2105
SUV,10,165499,100,2741,28,13.4,11.9,32,33,Moderate,Low,9,No,50000-80000,50937.75322
Hatchback,10,85107,93,3372,41,22.7,12.54,32,34,Good,Low,10,No,80000+,98288.01089
Sedan,8,68510,98,2766,40,13.3,12.67,44,34,Worn,Low,4,No,50000-80000,74038.79932
Truck,7,155155,101,1404,28,6.2,12.07,29,35,Good,Medium,10,Yes,25000-50000,32884.59568
Truck,4,148286,111,763,35,5.7,11.78,33,31,Good,Low,9,No,25000-50000,46172.31278
Sedan,2,47595,100,1537,41,17.1,12.55,38,28,Good,Low,4,Yes,50000-80000,65887.36988
Hatchback,8,108258,84,2486,37,22.8,11.8,44,32,Moderate,Low,1,No,80000+,91516.75982
Sedan,9,81215,91,618,26,17.5,11.87,27,30,Worn,Low,1,Yes,50000-80000,60874.77619
Truck,7,216227,104,2327,30,8.6,12.66,29,29,Good,Low,3,No,50000-80000,72743.48474
Sedan,11,175318,92,3363,32,17.1,12.45,42,29,Critical,Medium,11,No,10000-25000,20464.78469
Sedan,12,127404,89,2737,41,14.8,11.77,35,28,Good,Low,12,No,50000-80000,63112.31119
SUV,11,9184,95,1517,36,12.5,12.25,38,34,Moderate,Medium,1,No,80000+,102425.3003
Sedan,3,36509,89,2216,34,13.5,11.78,32,35,Good,High,8,No,25000-50000,45163.86654
SUV,9,179097,89,1575,31,8.8,11.84,38,33,Good,Low,2,No,80000+,95717.26413
Hatchback,7,16267,89,755,35,18.8,12.32,31,33,Moderate,Low,9,No,50000-80000,71075.44802
Truck,12,220424,111,1989,26,7.8,12.78,28,28,Good,Low,2,No,25000-50000,31181.41945
Sedan,10,213639,99,2622,34,11.2,12.49,26,33,Good,Low,11,No,25000-50000,46972.75
Truck,3,209634,110,2439,33,5.3,12.44,32,31,Moderate,High,8,No,3000-10000,8494.859616
Hatchback,4,78321,94,1480,41,17.9,12.73,35,29,Good,Medium,11,No,50000-80000,79760.10287
Sedan,12,94535,96,2881,39,14.7,12.06,40,28,Critical,Low,3,No,25000-50000,27199.33912
Sedan,7,82589,89,2939,34,12.7,12.8,32,29,Worn,Medium,5,No,50000-80000,50054.09956
Sedan,6,38089,83,3376,28,13.9,11.79,44,28,Moderate,Low,6,No,50000-80000,50078.33306
Sedan,7,42432,87,1310,33,18.4,12.04,31,36,Critical,Low,10,No,25000-50000,31989.53615
Sedan,4,44868,90,1879,34,16.1,12.29,30,31,Good,Medium,12,No,25000-50000,33973.61872
Hatchback,8,36125,90,3054,37,20.6,12.2,25,35,Good,Low,12,No,50000-80000,61315.06481
SUV,12,211394,89,1334,35,9.6,12.71,38,31,Moderate,Medium,2,Yes,50000-80000,64097.73312
Hatchback,3,120844,97,2748,28,20.4,12.42,29,35,Moderate,High,3,No,10000-25000,16366.84412
Truck,10,198971,114,1322,32,4.6,12.25,37,30,Worn,Low,1,No,25000-50000,27251.01071
Hatchback,7,5405,86,3113,42,19.9,11.96,35,29,Good,Medium,9,Yes,50000-80000,52064.76356
Truck,2,79875,96,696,21,9.9,12.44,31,35,Good,Low,3,No,25000-50000,48469.41493
SUV,3,39018,106,1703,29,11.5,12.29,31,31,Worn,Low,4,No,25000-50000,30498.10943
Hatchback,7,198705,97,1010,43,18.1,12.59,41,30,Worn,Medium,9,No,50000-80000,66184.23948
Truck,2,120448,112,1696,20,3.8,12.62,34,33,Good,Low,1,No,10000-25000,24726.04653
SUV,11,92774,93,2676,31,10.3,12.78,31,35,Moderate,Low,1,No,80000+,96573.08835
Sedan,10,69658,87,3463,26,13.9,11.74,45,33,Critical,Low,7,Yes,25000-50000,38850.69055
Sedan,9,183537,90,1443,39,13.9,12.53,43,32,Moderate,Low,4,No,80000+,100467.5155
SUV,3,127984,104,1177,37,9.3,12.75,26,30,Worn,Low,9,No,80000+,93777.53784
Sedan,1,138386,86,880,35,12.3,11.72,27,34,Good,Low,3,No,80000+,102477.2136
Sedan,3,198461,95,3250,28,17.7,12.73,25,31,Moderate,Low,7,Yes,25000-50000,49326.81178
Sedan,10,15087,94,1436,29,16.3,12.32,28,31,Good,Low,6,No,80000+,88079.25533
Truck,8,32697,112,2813,32,8.6,12.26,34,29,Good,Low,9,No,25000-50000,41803.6298
Truck,3,236908,108,1201,21,7,12.65,45,33,Good,Low,8,No,10000-25000,22498.95606
SUV,6,215687,98,956,39,11.2,12.48,30,33,Moderate,Low,8,No,80000+,94021.56452
Sedan,4,122383,93,1087,35,11.9,11.84,37,35,Moderate,High,1,No,25000-50000,49443.35894
Sedan,12,47329,91,1174,38,18,12.66,33,28,Critical,Medium,3,No,25000-50000,30870.56999
Hatchback,9,35473,85,1000,45,14.9,12.62,31,33,Good,High,5,Yes,25000-50000,40420.73744
SUV,3,58287,95,2183,28,8.7,12.05,35,31,Moderate,Low,11,No,25000-50000,45293.27212
Hatchback,3,156281,86,1393,36,16.2,11.82,43,34,Good,Low,1,No,80000+,84434.62563
Sedan,12,149728,98,2170,41,13.8,12.06,33,29,Good,Low,3,No,80000+,101503.7357
SUV,2,113251,103,3063,27,11.1,12.08,31,30,Critical,Medium,12,No,10000-25000,14533.60434
SUV,4,115070,92,2747,26,7.4,12.62,29,32,Good,Medium,5,No,80000+,84495.582
Sedan,10,200872,100,634,31,11.9,12.68,37,30,Critical,Low,7,No,25000-50000,40681.34506
SUV,12,144553,96,646,33,12.3,12.04,43,28,Critical,High,9,No,10000-25000,24241.99321
Hatchback,4,52363,96,3243,43,16.5,11.81,34,33,Good,Low,4,No,80000+,91544.70782
Truck,6,161599,104,1400,22,10.3,12.03,37,33,Good,Low,9,No,50000-80000,79917.61097
Hatchback,3,233584,94,3245,45,17.1,12.45,28,28,Good,Medium,2,No,80000+,100445.4818
Sedan,10,106095,98,1917,26,11.4,11.84,40,35,Good,Low,9,No,50000-80000,56898.12287
Truck,11,178058,114,3469,30,7.4,11.91,28,33,Good,Medium,2,No,25000-50000,39440.68234
Hatchback,2,88700,92,1294,41,19.3,12.64,33,30,Worn,Medium,4,No,50000-80000,69035.15623
Sedan,4,222672,101,1218,36,13.3,12.04,41,31,Good,High,4,No,25000-50000,43740.82841
SUV,11,29566,95,2487,36,8.3,12.4,41,30,Worn,Medium,5,Yes,50000-80000,61148.01385
Hatchback,12,89097,83,3281,37,13.4,12.12,42,34,Critical,Medium,3,No,25000-50000,26001.77241
Truck,3,163505,94,1139,30,8.1,11.8,40,28,Good,High,2,No,25000-50000,41530.85258
Hatchback,10,196723,92,1663,34,21.6,11.9,43,34,Moderate,Low,5,No,50000-80000,61619.19157
SUV,9,201586,107,2241,35,10.6,12.09,30,36,Moderate,Medium,9,Yes,10000-25000,24630.36073
Hatchback,7,198892,89,1135,41,20.9,12.29,33,34,Moderate,Medium,12,Yes,25000-50000,46587.7055
SUV,10,56988,96,1248,33,10.9,12.36,42,34,Good,Medium,10,No,50000-80000,57759.96328
Hatchback,5,75426,88,2840,30,17.6,12.5,42,33,Moderate,Medium,10,No,50000-80000,70532.39063
Truck,7,217311,111,2583,26,6.8,11.89,39,33,Moderate,Low,3,No,10000-25000,20490.31098
Sedan,2,84800,98,3304,36,15,12.56,44,28,Good,Low,7,Yes,50000-80000,78866.8328
Truck,9,126219,104,1905,23,8.6,12.12,36,28,Moderate,Low,6,No,25000-50000,32504.15458
Truck,4,5975,108,3422,35,5.2,11.83,28,28,Critical,Medium,9,No,3000-10000,3338.498503
Truck,12,128815,107,818,26,5.4,12.2,31,32,Good,Low,3,No,25000-50000,30599.84108
SUV,11,81202,101,1205,41,13.3,12.7,37,36,Worn,Low,2,No,80000+,98738.13018
Truck,11,37319,99,3381,25,4.3,12.38,33,33,Good,High,5,No,10000-25000,22701.54096
Hatchback,1,166312,92,2924,41,23.1,12.32,28,28,Good,Medium,11,No,50000-80000,58401.84308
Hatchback,6,48270,90,701,41,16.1,11.98,45,28,Moderate,Low,11,Yes,25000-50000,31488.77111
Truck,7,83410,112,689,22,3.2,12.53,35,30,Good,Low,8,No,25000-50000,42589.45327
SUV,3,114056,108,1620,31,13.2,12.68,42,29,Good,Low,9,No,50000-80000,74386.89894
SUV,6,39055,92,2135,32,9.9,12.56,40,28,Critical,High,12,No,3000-10000,8489.222078
Hatchback,11,27368,83,1202,43,13.8,11.77,28,32,Good,Low,3,No,80000+,99983.36137
Truck,8,33650,106,2342,20,5.2,12.52,29,31,Good,Low,8,No,10000-25000,23405.0728
Truck,11,112160,114,2814,29,5.5,11.99,37,32,Good,Low,6,No,25000-50000,25888.36933
Truck,5,88851,107,1842,23,8.5,12.78,29,36,Moderate,Low,12,Yes,3000-10000,3455.246198
SUV,10,215700,92,1791,29,10.9,12.33,26,30,Worn,High,7,No,25000-50000,42524.45692
Truck,4,49276,106,2100,29,6.4,12.47,41,28,Good,Low,11,No,10000-25000,12052.12587
Truck,3,225266,98,2022,32,5.6,12.09,35,33,Good,High,6,No,10000-25000,16779.58099
Sedan,7,210207,99,2344,40,13.8,12.56,43,29,Good,Low,7,No,80000+,89742.2684
Hatchback,12,182767,95,1298,35,18.8,11.8,25,35,Critical,Medium,6,Yes,10000-25000,13435.60242
Truck,5,29766,108,878,18,5,12.6,41,28,Moderate,Low,6,No,3000-10000,5363.330663
Hatchback,7,92025,96,1755,37,20.1,12.34,37,34,Moderate,High,3,No,25000-50000,48983.74302
SUV,12,203097,92,657,37,12,12.11,40,29,Good,Low,10,No,80000+,90814.5533
SUV,7,163204,101,799,42,12.1,12.6,34,36,Good,Low,10,No,80000+,96997.25826
Hatchback,4,217653,94,2364,38,15,11.92,41,31,Critical,Medium,2,Yes,25000-50000,36066.29197
Truck,2,123118,101,1723,23,6,12.26,34,35,Moderate,Low,3,No,25000-50000,32534.53408
SUV,2,235083,101,1356,33,10.8,12.08,34,34,Critical,Low,6,No,25000-50000,28526.62678
Sedan,5,145919,87,606,31,19,11.7,30,35,Good,Medium,1,No,80000+,98285.76954
SUV,12,245481,98,1422,39,10.2,12.45,34,31,Moderate,High,2,No,50000-80000,52258.65899
Sedan,5,31194,93,3391,32,12.9,11.94,45,33,Good,Low,7,No,80000+,93613.97883
SUV,4,190010,94,797,40,13.3,12.7,30,31,Good,High,6,No,50000-80000,52259.07758
Sedan,10,214033,95,2690,28,14.2,12.07,33,31,Critical,High,4,No,3000-10000,8305.409278
Sedan,7,153532,98,2993,41,14.3,12.6,33,35,Good,Medium,8,No,50000-80000,71459.76462
Truck,8,177658,117,2133,27,4.9,12.4,30,31,Good,Low,1,No,25000-50000,37761.48798
Truck,2,136591,95,3261,16,6.4,11.72,38,33,Good,High,8,Yes,3000-10000,8406.462773
SUV,12,51232,98,2340,41,11.1,12.22,32,36,Worn,Medium,11,Yes,25000-50000,25659.86876
SUV,11,106890,89,2007,39,10.2,12.32,37,29,Good,Medium,4,Yes,80000+,95944.5795
Sedan,7,247308,87,1759,40,12,12.14,45,30,Worn,Medium,11,No,25000-50000,35353.21863
SUV,10,185135,106,2823,29,11.3,11.91,34,36,Good,Low,11,No,25000-50000,44327.5957
SUV,9,169275,93,1776,31,12.2,11.96,30,33,Worn,Medium,6,No,50000-80000,53388.70429
Sedan,2,112281,96,3251,30,11.6,11.87,34,32,Good,Low,3,No,50000-80000,64925.5418
Hatchback,6,70427,93,3286,30,19.1,11.78,26,30,Worn,High,5,No,25000-50000,26296.20186
Hatchback,3,22750,91,2435,37,17.2,12.79,30,34,Good,Low,9,No,80000+,100234.6548
SUV,11,86634,100,2131,25,11.3,12.02,42,31,Moderate,High,11,No,10000-25000,24189.29225
Sedan,6,113731,96,819,35,17,12.44,33,31,Moderate,Low,5,No,50000-80000,52036.6123
Truck,6,134925,103,811,21,4.4,12.09,37,32,Critical,Low,2,No,10000-25000,10456.70355
Hatchback,5,50774,92,1038,39,13.2,11.96,34,29,Good,High,6,No,50000-80000,55839.82276
SUV,1,77583,104,3192,27,13.7,12.01,41,31,Worn,High,11,No,10000-25000,19726.11393
Sedan,4,181921,93,1187,43,15.6,12.5,43,35,Moderate,Low,4,No,80000+,101883.2577
Hatchback,9,24521,99,1266,43,15.4,11.93,42,29,Moderate,High,11,No,10000-25000,13263.42078
SUV,11,17379,95,2962,28,9.4,12.68,37,36,Good,Low,10,No,80000+,96135.13863
Truck,2,118007,111,2691,24,9.6,12.71,32,36,Good,Low,12,No,10000-25000,12783.24867
Sedan,1,158075,91,704,31,14.9,12.43,37,28,Critical,Low,2,No,50000-80000,66792.64955
Truck,5,123228,97,2117,21,5.2,12.74,30,36,Worn,Medium,1,No,10000-25000,21082.69178
Sedan,11,93905,95,1351,33,12.5,12.26,25,36,Good,High,12,Yes,3000-10000,5186.377274
Truck,4,127876,100,3269,28,8,12.43,45,35,Worn,Medium,1,Yes,25000-50000,27314.38937
Hatchback,2,85084,93,2712,43,18.3,12.45,41,36,Good,High,4,Yes,25000-50000,45624.17905
SUV,5,111612,104,631,29,10.7,12.69,36,32,Good,Medium,3,No,50000-80000,64151.06709
Hatchback,8,78205,92,666,33,19.2,12.01,28,31,Moderate,High,3,No,25000-50000,28882.7593
SUV,11,179755,95,2991,29,12.2,11.78,29,28,Worn,Medium,2,No,50000-80000,50380.83308
SUV,12,198693,103,1214,34,13.3,11.85,41,32,Worn,Low,12,No,25000-50000,46142.19721
Sedan,7,67873,96,1823,30,13.4,12.54,39,32,Good,Low,3,No,50000-80000,57050.32535
Truck,8,34893,104,1513,23,6,12.27,27,34,Worn,Medium,10,No,25000-50000,40295.81482
Hatchback,4,18720,96,1636,37,13.9,12.79,45,31,Worn,High,5,No,25000-50000,33772.88756
Hatchback,10,110791,85,3406,41,16.9,12.66,35,32,Good,Low,6,No,80000+,89654.37435
Sedan,10,244364,90,2862,34,13.9,12.73,33,35,Moderate,Low,2,No,80000+,90446.18521
SUV,9,135643,103,1833,41,9.2,11.94,42,36,Good,Medium,11,Yes,25000-50000,47368.02377
Sedan,5,249408,84,1453,29,17.7,12.38,41,32,Good,High,5,No,25000-50000,49878.3842
Hatchback,8,6968,88,3308,40,18,12.37,38,36,Worn,Low,8,Yes,50000-80000,77283.26959
Hatchback,2,244145,93,1766,39,22.7,12.4,28,31,Good,Low,5,Yes,80000+,91643.41624
Truck,6,230015,114,3155,30,7.9,12.23,27,35,Good,Low,1,No,25000-50000,25771.96971
Hatchback,3,197370,82,1676,42,20.2,11.93,39,33,Good,Low,6,Yes,80000+,100690.8706
Sedan,1,209464,85,3390,39,15.3,12.08,28,31,Good,Medium,6,No,80000+,100999.7645
Hatchback,8,232191,94,2435,30,21.6,11.84,36,28,Critical,Low,10,No,25000-50000,39258.32673
SUV,7,78927,91,3267,25,11,12.55,43,33,Moderate,Low,5,Yes,50000-80000,61756.32636
SUV,9,24361,107,1445,35,9.6,12.76,30,36,Good,High,6,No,10000-25000,13311.65907
SUV,12,130720,101,2210,30,14.2,12.74,26,35,Good,High,2,No,50000-80000,61959.3119
Truck,8,158177,107,2754,23,6.5,12.05,43,33,Good,Low,11,No,10000-25000,18582.40172
Hatchback,5,37150,88,1906,48,20.4,12.14,27,33,Moderate,Low,7,Yes,50000-80000,64299.5226
Hatchback,10,59829,99,2328,40,18.2,12.08,30,35,Critical,Low,7,No,25000-50000,26498.63342
Sedan,12,51433,90,726,37,16.1,12.12,27,29,Worn,Low,8,Yes,50000-80000,51687.56564
Truck,10,68103,95,2964,24,6.6,12.54,36,35,Moderate,High,8,No,10000-25000,20993.86498
Hatchback,8,29748,85,3366,35,15.4,12.25,35,36,Good,Low,1,No,80000+,97230.98816
SUV,5,168334,104,2878,30,12.9,11.87,32,31,Good,High,9,Yes,25000-50000,43745.23216
Truck,2,181431,99,2234,16,10.9,11.73,29,28,Good,High,4,No,3000-10000,7857.131465
Truck,9,84401,114,704,36,9.1,11.79,29,33,Critical,High,3,Yes,0-3000,1289.430581
SUV,1,152109,102,1182,30,10.7,12.06,25,35,Moderate,Low,12,Yes,25000-50000,28249.16696
Hatchback,2,17793,94,1581,38,17.8,11.95,36,34,Critical,Low,9,No,50000-80000,64274.94587
Truck,2,41736,98,2077,35,8.1,11.73,41,32,Good,Medium,11,No,10000-25000,16539.77955
Truck,4,9207,106,1645,23,8.1,12.23,41,35,Good,High,11,Yes,0-3000,1023.794341
Sedan,8,59953,95,3131,31,11.6,12.03,36,30,Worn,Low,7,No,50000-80000,68409.24278
Hatchback,3,149476,92,2958,38,15.7,11.85,43,30,Worn,Medium,11,No,25000-50000,33268.32228
Hatchback,7,92263,94,2862,33,18.1,12.76,30,29,Worn,Low,2,No,80000+,85759.99371
SUV,2,217815,90,2230,26,8.9,11.99,39,33,Moderate,High,4,No,25000-50000,31308.62423
Truck,7,225520,105,1515,28,5.3,12.74,38,31,Good,Medium,9,No,25000-50000,33140.62774
Sedan,5,7068,90,2414,35,15.6,12.32,36,30,Good,Low,4,Yes,50000-80000,63388.51032
Truck,12,150585,100,3413,25,9.7,12.48,35,31,Good,High,4,No,10000-25000,11215.92521
Sedan,8,125371,97,1120,32,19,12.03,28,34,Moderate,Low,1,No,50000-80000,70295.19707
Truck,6,183434,110,1501,32,6.3,12.72,39,36,Good,Medium,2,No,25000-50000,35864.28652
Truck,11,222402,114,2528,27,7.3,12.72,26,35,Good,Medium,9,No,10000-25000,19964.93521
SUV,9,166817,101,1924,43,10.7,12.01,41,34,Worn,Low,11,No,50000-80000,69674.94216
Hatchback,11,41635,87,2258,48,18.1,12.6,28,32,Good,High,3,Yes,25000-50000,48480.46285
Truck,5,62677,96,660,20,4.3,12.73,40,33,Critical,High,6,No,0-3000,1116.053056
SUV,6,236494,105,794,37,11.5,12.18,34,31,Good,Medium,6,No,80000+,99627.81488
Truck,2,164320,107,779,16,5.4,12.18,33,36,Good,Low,2,No,10000-25000,12746.45338
Hatchback,5,239122,98,1147,38,16,11.88,40,30,Worn,High,3,Yes,10000-25000,17911.4881
SUV,9,213772,95,3321,25,10.8,12.37,33,30,Good,Medium,3,Yes,50000-80000,78027.74756
Sedan,5,159283,92,956,36,15.9,12.23,45,32,Moderate,Low,6,No,80000+,96891.8039
Hatchback,1,170111,91,1451,28,19.1,12.65,30,34,Good,High,9,No,25000-50000,34247.86668
SUV,4,131045,104,2608,23,10.7,12.33,42,29,Good,Medium,1,No,80000+,92837.67306
Hatchback,9,99012,90,1806,33,15.9,12.43,33,28,Good,Low,7,No,80000+,101572.925
SUV,6,127227,96,2254,28,9.1,11.72,43,36,Good,Medium,3,No,50000-80000,61586.70869
Hatchback,12,86385,88,2528,31,16.1,12.72,25,32,Critical,Low,3,No,25000-50000,36267.68203
SUV,5,13910,89,3474,34,10.9,12.1,30,31,Moderate,Medium,4,No,50000-80000,58919.15128
Hatchback,10,37743,98,2369,37,19.2,12.54,28,30,Good,Medium,3,No,50000-80000,60834.51875
SUV,2,237446,104,3042,29,7.5,11.95,38,33,Critical,Low,6,Yes,25000-50000,49368.87247
Hatchback,4,125694,89,2897,44,20.8,12.5,44,33,Good,Medium,10,No,80000+,93550.14593
SUV,2,110806,88,2603,41,9.8,12.62,29,28,Moderate,Low,3,No,80000+,93494.20491
SUV,8,191096,92,2659,33,8.8,11.96,43,28,Moderate,Medium,3,Yes,50000-80000,64078.70303
Hatchback,10,248862,94,1947,43,20.6,12.12,31,31,Worn,High,5,Yes,25000-50000,27527.33745
SUV,6,74472,103,2805,34,11.9,12.62,40,28,Good,Low,6,No,80000+,93816.10007
Sedan,8,125982,85,2892,39,11.1,12.4,45,35,Good,Low,5,No,80000+,92728.33318
Hatchback,3,249925,83,1742,38,14.5,12.37,32,29,Moderate,High,5,No,25000-50000,29840.79031
Hatchback,11,104436,98,1095,46,14.7,12.56,33,35,Good,Medium,11,No,25000-50000,46274.6925
Truck,6,55666,113,2948,17,4.5,12.58,42,32,Worn,Low,8,No,3000-10000,7176.000048
Truck,5,220433,111,2486,19,10.4,11.78,36,35,Good,Low,4,Yes,3000-10000,5467.700912
SUV,10,80149,92,1635,25,9.6,12.39,28,35,Worn,Low,3,No,80000+,88086.77659
Hatchback,4,128618,96,1458,38,14.6,12.68,30,35,Good,Low,11,Yes,25000-50000,38299.30457
Truck,1,114077,97,1421,16,3.7,12.54,38,31,Good,Medium,11,Yes,3000-10000,3956.477334
SUV,8,182194,91,1324,38,11.8,12.45,34,30,Good,Medium,3,No,80000+,99824.87163
Truck,5,235302,105,2656,28,6.3,12.07,27,32,Good,High,12,No,3000-10000,7209.355925
SUV,3,95040,96,2500,36,8.1,12.19,44,32,Good,Low,11,No,50000-80000,52601.4251
Sedan,8,48903,91,3023,41,17.9,12.3,32,36,Good,Medium,6,No,80000+,100782.7946
Hatchback,8,81377,92,1357,34,17.4,11.9,31,32,Moderate,Medium,9,Yes,25000-50000,46271.02775
Truck,7,146648,95,1838,23,8.3,11.77,37,36,Moderate,Low,12,Yes,10000-25000,23078.42911
Sedan,11,120762,93,1262,39,12.9,11.72,33,32,Moderate,Medium,9,No,50000-80000,71300.02585
SUV,1,36553,103,3317,28,12.6,12.05,45,29,Good,Low,6,No,80000+,95331.26346
SUV,7,247882,104,1598,40,12,12.15,26,34,Good,Low,1,No,80000+,99075.03929
Truck,6,202462,94,2558,31,9,11.99,38,28,Moderate,Low,3,Yes,25000-50000,36216.41005
SUV,1,6196,98,1950,42,10.4,12.48,41,31,Worn,Low,11,No,50000-80000,60650.48308
Sedan,11,212581,85,3292,37,13.6,12.63,43,35,Good,Medium,2,No,80000+,97346.21613
Sedan,8,207133,103,2253,39,13.5,12.61,40,33,Moderate,Medium,3,Yes,25000-50000,35321.98619
Truck,6,223522,95,1226,26,7.6,12.54,28,34,Worn,Medium,10,No,25000-50000,44451.90972
Hatchback,2,77859,92,1449,42,16.3,11.99,45,31,Good,Low,5,Yes,80000+,91615.32556
SUV,11,121863,100,2825,27,9.1,11.96,37,34,Worn,Low,1,No,80000+,94458.9066
SUV,11,186404,101,1905,34,14.4,11.87,45,33,Good,Medium,2,No,80000+,85664.43165
SUV,8,50967,100,1107,30,8.6,11.94,30,31,Good,Low,3,No,80000+,92319.35979
Sedan,7,71126,85,2110,41,15.6,12.28,41,28,Moderate,Low,6,No,80000+,94280.35403
Hatchback,7,71604,94,3044,36,22.3,12.75,38,31,Moderate,Low,7,Yes,50000-80000,52792.74435
Sedan,2,180288,94,1642,41,11.4,11.91,40,33,Good,Low,2,No,80000+,86623.39703
SUV,3,175679,103,2017,32,7.6,12.53,40,33,Good,Low,7,No,80000+,96749.73259
Hatchback,2,122153,88,1280,42,21.2,12.53,28,35,Good,Medium,3,No,80000+,84618.18047
SUV,7,245113,99,2524,36,10.2,11.74,31,28,Good,Low,7,No,80000+,91606.5287
Hatchback,11,61522,86,3287,46,14.2,12.18,26,28,Good,Medium,12,No,50000-80000,60239.51903
SUV,1,71946,103,2708,27,9.6,12.15,36,33,Moderate,High,4,No,25000-50000,42495.35644
Hatchback,11,150216,97,1421,43,20.3,12.4,33,29,Worn,Low,11,No,25000-50000,27497.66652
SUV,12,79296,98,3001,38,12.3,11.82,34,30,Critical,High,7,No,10000-25000,21462.64141
Sedan,6,156016,99,2311,31,15.5,12.61,44,33,Good,Low,6,Yes,50000-80000,58385.0639
Hatchback,4,65970,93,2605,31,22.4,12.44,27,32,Moderate,Low,3,No,50000-80000,70625.99933
Hatchback,8,194813,88,1073,43,17.5,12.11,31,33,Critical,Medium,4,No,25000-50000,31911.63585
Sedan,4,18347,92,2734,33,14.8,11.95,45,34,Good,Medium,1,No,80000+,86897.38099
Sedan,2,186568,87,2726,40,14,12.33,27,31,Worn,Medium,4,Yes,50000-80000,52153.00908
Hatchback,2,91003,99,956,35,17.3,12.75,41,33,Moderate,Low,2,No,50000-80000,64622.05163
Truck,12,107027,110,3049,22,7.6,12.05,28,33,Good,Low,2,No,25000-50000,44748.40448
Truck,5,86671,99,1940,34,8.2,12.57,38,36,Critical,Low,2,No,25000-50000,44994.00275
SUV,10,63262,105,2159,35,9.6,12.78,45,33,Good,Medium,12,No,25000-50000,25483.94157
Sedan,2,36616,91,3103,30,17.3,12,33,29,Good,High,1,No,50000-80000,50285.89333
Truck,7,163108,113,2192,20,7.3,12.53,42,29,Worn,High,6,Yes,0-3000,1962.50592
Truck,8,114984,100,2254,36,9.3,12.75,36,30,Good,Low,3,No,50000-80000,51830.23267
Sedan,7,14482,101,1490,31,12.3,12.31,37,32,Good,High,7,No,25000-50000,26910.28421
Truck,4,157624,94,1613,20,6.1,11.78,45,34,Worn,High,3,No,3000-10000,9779.219262
SUV,7,193874,93,914,25,10.7,12.71,26,36,Worn,Medium,6,No,50000-80000,73375.33499
Sedan,6,232232,86,2726,38,15,12.59,40,32,Moderate,Medium,1,No,80000+,98577.23095
Sedan,1,136293,91,2045,34,14.7,12.16,37,36,Good,High,7,No,25000-50000,31369.8985
Hatchback,5,191807,86,2589,39,21,11.87,25,35,Worn,Low,10,No,80000+,89382.43904
Hatchback,11,9443,92,2254,41,15,12.11,36,35,Worn,Low,5,No,80000+,86952.39834
Hatchback,3,154793,93,2477,37,21.5,12.67,38,31,Good,Low,11,No,50000-80000,77492.30758
Sedan,3,94710,98,2696,30,18.6,12.57,39,34,Good,Low,2,No,80000+,84099.6325
Hatchback,4,221554,99,992,45,17.5,12.62,31,36,Moderate,High,8,No,25000-50000,33675.17961
SUV,2,249916,99,2633,25,14,11.99,34,33,Moderate,Medium,5,No,50000-80000,52066.58302
Truck,6,48672,102,2555,24,7.7,11.8,31,32,Good,Low,10,No,50000-80000,50489.15194
Truck,12,136105,103,1843,30,9.2,12.16,40,36,Good,Low,5,No,50000-80000,75793.50046
Sedan,9,50458,89,3442,29,12.1,11.9,42,31,Good,Low,9,No,80000+,100712.4573
Truck,12,178747,105,3473,23,4.6,12.54,38,32,Good,Low,8,No,50000-80000,71872.60562
